证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
600609,金杯汽车股份有限公司,42369,0.8669,2.9174,14.2606,5.169033805,0.461863421,0.182099754,2.5045,-2.49638147,8.0961,0
600609,金杯汽车股份有限公司,42735,0.8679,1.3863,17.0406,5.002698306,0.422289261,0.087950661,-3.2646,677.4654826,13.2239,0
600609,金杯汽车股份有限公司,43100,1.2216,2.7602,6.855,9.654770919,0.969964099,0.469507797,6.3766,1.478006114,-47.6768,0
600609,金杯汽车股份有限公司,43465,1.249,7.0608,6.8944,10.7392052,1.079383155,0.255534115,5.0232,6.170608919,-4.2952,0
600686,厦门金龙汽车集团股份有限公司,42004,1.0082,61.6164,4.1635,11.32176814,1.162863021,0.204363024,2.1607,0.234067264,14.5496,0
600686,厦门金龙汽车集团股份有限公司,42369,1.1143,105.4865,4.2494,14.89379959,1.057261462,0.341606116,4.3158,0.94341656,37.722,0
600686,厦门金龙汽车集团股份有限公司,42735,1.1439,-29.0945,5.6642,11.82208272,0.866535544,-0.610848258,-7.1952,0.906167414,-0.7549,0
600686,厦门金龙汽车集团股份有限公司,43100,1.238,13.7194,4.7366,9.747099927,0.706619928,0.356066764,4.63,-0.762902229,-0.3574,0
600686,厦门金龙汽车集团股份有限公司,43465,1.1826,2.9673,5.2027,10.33124549,0.708269737,0.068421985,1.0787,1.473184159,2.8858,0
600699,宁波均胜电子股份有限公司,40908,0.9151,19.3349,2.0512,3.889986694,1.068129903,0.392020061,14.2548,1.182842288,21.7538,0
600699,宁波均胜电子股份有限公司,41274,0.5646,7.2525,2.869,2.691237206,1.035892546,0.118651116,5.6012,2.432130024,14.3661,0
600699,宁波均胜电子股份有限公司,41639,0.6785,6.9806,2.4563,2.999534834,1.062281184,0.139909266,6.2222,2.168252754,11.0804,0
600699,宁波均胜电子股份有限公司,42004,0.7288,8.5265,2.5341,3.338891957,1.130669451,0.150298519,5.995,2.10960491,8.9322,0
600699,宁波均胜电子股份有限公司,42369,1.0438,6.0445,2.8693,3.286015084,0.708410655,0.15234812,6.3807,1.402654972,82.2818,0
600699,宁波均胜电子股份有限公司,42735,1.3196,2.6272,2.6893,3.325895737,0.498284399,0.071474651,4.0948,0.99753263,226.3327,0
600699,宁波均胜电子股份有限公司,43100,0.8744,2.8906,2.5801,4.233740745,0.752526298,0.074694195,3.9374,2.560266791,-5.0427,0
600699,宁波均胜电子股份有限公司,43465,0.9469,3.8294,3.2622,4.380817704,0.947079505,0.127251377,1.5229,1.398492211,67.7842,0
600733,北汽蓝谷新能源科技股份有限公司,43100,1.0844,3.6078,1.6405,2.608528103,0.09935932,0.120286673,12.6958,-7.658622562,3.6225,0
600733,北汽蓝谷新能源科技股份有限公司,43465,1.4273,3.4024,2.6657,3.71881886,0.379643129,0.023341382,0.8844,-24.63698463,51.9948,0
600741,华域汽车系统股份有限公司,42004,1.1506,146.4166,2.2176,10.12921187,1.169682982,0.267055097,9.1688,0.983626142,15.5604,0
600741,华域汽车系统股份有限公司,42369,1.0835,307.6407,2.3373,8.455246634,1.15929471,0.242389874,8.0805,0.845777977,24.2848,0
600742,长春一汽富维汽车零部件股份有限公司,40543,0.9473,79.1497,1.41,9.106613788,1.726536485,0.298971245,10.2601,0.272310003,56.8318,0
600742,长春一汽富维汽车零部件股份有限公司,40908,1.0736,74.6173,1.407,8.329400839,1.692420939,0.224358918,7.44,0.386143688,15.1985,0
600742,长春一汽富维汽车零部件股份有限公司,41274,0.8538,56.1611,1.4277,8.088627684,1.604268361,0.161856969,6.0271,1.019880591,15.9959,0
600742,长春一汽富维汽车零部件股份有限公司,41639,0.7744,78.3116,1.5476,7.713746411,1.660995609,0.134859661,4.7084,0.566346897,19.1839,0
600742,长春一汽富维汽车零部件股份有限公司,42004,0.8954,78.2434,1.5377,7.822632131,1.733627303,0.170029073,5.6641,0.499223218,14.0228,0
600742,长春一汽富维汽车零部件股份有限公司,42369,1.0086,69.608,1.5812,6.787602576,1.384122787,0.127460815,4.9067,0.897189664,9.5881,0
600742,长春一汽富维汽车零部件股份有限公司,42735,1.1789,443.8286,1.706,7.397928473,1.434516737,0.156791225,4.6263,1.676707745,17.3118,0
